algorithm,function,dim,min,max,median,mean,std,ranking
ctxt1_sol_0.py,1,10,22644.737871377813,49480.712412821435,33715.82807901295,34309.69881375353,7410.16152856125,3.5
ctxt1_sol_1.py,1,10,16160.849345268729,55162.819019042,34459.96349605311,35531.130329397376,10130.596360180152,5.0
ctxt1_sol_2.py,1,10,17639.87742624159,57704.38722350872,40279.051851665296,40661.4560006552,10499.703725618388,6.0
ctxt1_sol_3.py,1,10,13971.980693531596,39149.773570893696,26867.68073840224,26958.003274371284,5360.252334011255,2.0
ctxt1_sol_8.py,1,10,7155.588066114886,54750.986111977305,34531.76789304937,33295.04874282645,9867.849158592024,3.5
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,1.0
ctxt1_sol_0.py,2,10,433.22390795885116,1785.5233913303257,1068.6056649131187,1086.8491820961565,332.0252236866601,3.5
ctxt1_sol_1.py,2,10,297.70513287466906,2645.9208349331,1059.2645864261785,1101.6625338612853,525.365849641479,3.5
ctxt1_sol_2.py,2,10,472.3515914682372,6012.828331846877,2070.240855513225,2324.7639723419575,1077.8993029203787,5.5
ctxt1_sol_3.py,2,10,221.2483347462133,866.9000971935907,433.18415614146113,461.49175138904826,161.9300482943912,2.0
ctxt1_sol_8.py,2,10,703.0814987739323,3928.5078361745514,1860.0387935427839,1914.9025163963936,704.3967511053114,5.5
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,1.0
ctxt1_sol_0.py,3,10,50.827777161722324,92.78719760112442,73.64323427042153,72.51520246918706,10.669987235930872,4.0
ctxt1_sol_1.py,3,10,54.54351044405093,91.81427412137201,70.74403298491383,71.921971353926,8.760983850615306,4.0
ctxt1_sol_2.py,3,10,57.52869190355662,106.52624248132351,86.5919110424047,84.18781471482944,11.184093689753315,6.0
ctxt1_sol_3.py,3,10,39.011573912659415,69.21113144622296,58.00484175618524,57.353196789267066,5.935760438785614,2.0
ctxt1_sol_8.py,3,10,54.728448798884905,95.2458297721072,75.7675592712686,73.36435277456661,10.407046091878883,4.0
random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,1.0
ctxt1_sol_0.py,4,10,73.27894280567665,112.89197471205334,95.13348902969827,93.60890181737912,9.47101336916464,4.0
ctxt1_sol_1.py,4,10,78.6735496609273,114.12121186817794,98.7145398426697,97.04342301628375,10.523431314937865,4.0
ctxt1_sol_2.py,4,10,62.60034953313135,126.13401074381088,105.15480531934811,103.85668153273917,14.024559999449703,6.0
ctxt1_sol_3.py,4,10,68.63829368055936,101.85471952248943,90.31246624529406,88.33856619064052,8.037002117395074,2.0
ctxt1_sol_8.py,4,10,64.55801507954806,116.03014586941646,95.99170077455645,95.70312009655693,12.177015635953971,4.0
random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,1.0
