algorithm,function,dim,min,max,median,mean,std,ranking
ctxt1_sol_0.py,1,10,0.0,24475.0172368645,0.0,3293.1111470276433,6422.547770134178,2.0
ctxt1_sol_1.py,1,10,0.0,33860.68968636129,1175.3949721226704,4361.074332246158,7207.595573287023,4.5
ctxt1_sol_2.py,1,10,0.0,26778.939115996156,0.0,1822.9904119529012,5026.191039818727,2.0
ctxt1_sol_3.py,1,10,6.482630322411397e-25,25570.691273366,1.4019361556415128e-21,1921.121004739249,4840.448421342136,4.5
ctxt1_sol_4.py,1,10,0.0,4514.404028699607,0.0,805.0263029743609,1416.417203486632,2.0
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,6.0
ctxt1_sol_0.py,2,10,8.241276199264401,668.1492662138331,63.22361955783476,108.85420965670214,145.69784571811286,5.0
ctxt1_sol_1.py,2,10,0.38511092271542435,380.7556893343566,43.8539893067782,54.868597279349714,69.65635933830956,3.0
ctxt1_sol_2.py,2,10,8.2412761992644,207.2906723985712,26.214626378052067,46.86759292614615,43.270116379310515,3.0
ctxt1_sol_3.py,2,10,6.323715936088226,121.56849084752868,37.4105751067714,41.916783301036126,33.18932116715943,1.0
ctxt1_sol_4.py,2,10,8.241276199264401,104.78562416764906,51.89207077220817,51.77575026194113,29.457091217133502,3.0
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,6.0
ctxt1_sol_0.py,3,10,0.0,19.97203314730947,4.076931220183752,4.943121745515744,4.85461931772663,2.5
ctxt1_sol_1.py,3,10,0.0,30.78778554659432,8.565685875917021,12.021187348183275,9.984077877555851,5.0
ctxt1_sol_2.py,3,10,0.0,15.40011772336792,3.706158292642342,4.2754483003527834,3.87413964058354,2.5
ctxt1_sol_3.py,3,10,0.0,15.66352354459458,2.842578087792959,4.198341852710737,4.43590469616324,2.5
ctxt1_sol_4.py,3,10,0.0,31.206339015919802,4.3058616531412195,6.151457637249711,7.278590377294281,2.5
random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,6.0
ctxt1_sol_0.py,4,10,11.939503647300409,47.5725050074455,26.12991713465734,26.630574125896064,9.767447391289204,2.5
ctxt1_sol_1.py,4,10,11.939498609481337,66.27725097725803,36.460466508915445,37.025343885872914,15.615916849499884,5.0
ctxt1_sol_2.py,4,10,6.964713399653032,50.851180222110955,23.878911211388782,23.941731015096902,10.726958848350765,2.5
ctxt1_sol_3.py,4,10,4.974795285466451,43.90996008110331,22.88402554460262,22.53500099753807,9.718548859702057,2.5
ctxt1_sol_4.py,4,10,8.954626476020536,47.31194643191543,22.884017965154925,24.084053619275632,9.020445958404569,2.5
random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,6.0
ctxt1_sol_0.py,5,10,1.4997597826618576e-32,818.5663959427482,0.4543240185907738,99.54734424531088,190.8878038033855,4.0
ctxt1_sol_1.py,5,10,1.4997597826618576e-32,1397.555416349883,3.845900579799618,275.9237622344265,384.30689570905975,5.0
ctxt1_sol_2.py,5,10,1.4997597826618576e-32,260.7643196570027,0.08952825041644091,59.75374522078055,99.91928876116319,1.5
ctxt1_sol_3.py,5,10,1.4997597826618576e-32,342.4843448450507,8.780943845644924e-24,28.861404194312573,87.55762993162212,1.5
ctxt1_sol_4.py,5,10,1.4997597826618576e-32,296.61983903009303,0.08952825041644094,71.47752832769687,110.41418311458438,3.0
random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,6.0
ctxt1_sol_0.py,6,10,102.42618370328387,6456.761060975476,3509.7254629080603,3762.3842007903736,2283.4447930851215,1.0
ctxt1_sol_1.py,6,10,145.3421468617116,939423.7951179269,6345.160650902756,62611.39023354662,180851.50487554606,5.0
ctxt1_sol_2.py,6,10,91.87372894787464,6520.577312571809,6281.469049195219,4757.387794458679,1953.7316439346762,3.5
ctxt1_sol_3.py,6,10,36.63133209560649,6527.7698110996025,3596.3723969572043,3812.091568794992,1984.2799249468999,2.0
ctxt1_sol_4.py,6,10,434.6846162481563,6525.634863409545,6293.835653684033,4972.184028985106,1915.7685338828164,3.5
