,0_random_search_sol_0.py,1a_ctxtfull_sol_0.py,1b_ctxtfull_sol_2.py,1_ctxt1_sol_2.py,2_ctxt1_sol_3.py,2_ctxtfull_sol_6.py,3_ctxt1_sol_0.py,3_ctxtfull_sol_3.py,4_ctxt1_sol_3.py,4_ctxtfull_sol_4.py,5_ctxt1_sol_3.py
0_random_search_sol_0.py,0,-11,-10,-11,8,-11,-6,-12,-10,-12,-12
1a_ctxtfull_sol_0.py,11,0,0,-3,12,-3,4,6,6,-10,-5
1b_ctxtfull_sol_2.py,10,0,0,-2,12,-3,3,5,5,-10,-7
1_ctxt1_sol_2.py,11,3,2,0,11,-1,5,4,7,-8,-2
2_ctxt1_sol_3.py,-8,-12,-12,-11,0,-10,-9,-12,-11,-12,-12
2_ctxtfull_sol_6.py,11,3,3,1,10,0,4,6,4,-6,-2
3_ctxt1_sol_0.py,6,-4,-3,-5,9,-4,0,0,-2,-11,-9
3_ctxtfull_sol_3.py,12,-6,-5,-4,12,-6,0,0,3,-9,-10
4_ctxt1_sol_3.py,10,-6,-5,-7,11,-4,2,-3,0,-7,-8
4_ctxtfull_sol_4.py,12,10,10,8,12,6,11,9,7,0,5
5_ctxt1_sol_3.py,12,5,7,2,12,2,9,10,8,-5,0
